,Accidents,UrbanDensification,UrbanParks,OldTown,Bars,HN_noise_40,HN_noise_60,strOri_0,strOri_1,strOri_2,strOri_3,X,Y,clusterID
1869,28,15296,9260,64712,15.0,1.0,0.0,806.1968559,1957.131762,754.7965251,1856.188312,430107.4152,4581474.395,4
1870,22,0,10439,70363,32.0,0.914285714,0.0,237.9843357,3200.600426,380.9719372,1910.583758,430687.5742,4581496.975,2
1871,9,15891,32267,70768,18.0,1.0,0.0,742.5740541,2769.207043,561.90534,2991.366042,431075.9234,4581730.393,4
1872,11,0,922,27531,1.0,1.0,0.0,215.1190186,1917.014896,0.0,1814.62323,431469.6737,4584790.989,1
1873,23,12600,14618,23618,4.0,1.0,0.0,1152.711722,249.7338793,832.0806317,642.927727,427755.9622,4580583.58,0
1874,21,0,7432,0,1.0,1.0,0.0,1154.693861,296.9088645,1138.169114,75.46400693,427062.8291,4582224.392,0
1875,12,0,2318,102546,25.0,0.375,0.375,20.59489948,2880.703449,18.043292,3197.621764,429543.1718,4583714.242,2
1876,2,0,38590,78469,1.0,1.0,0.0,971.0740527,1943.490301,403.1385344,1544.660635,431430.9202,4582264.009,4
1877,9,949,8263,114486,30.0,0.931034483,0.051724138,251.7862471,3868.591341,290.3700172,3046.646287,431302.7858,4581453.132,2
1878,21,63329,4782,0,4.0,1.0,0.0,682.5404505,1929.997715,679.9714009,1295.009782,427979.517,4584126.814,1
1879,11,0,18731,97872,32.0,0.903225806,0.0,632.4209922,3403.816925,433.864362,2997.33875,431093.1,4581530.55,2
1880,33,29409,1580,33302,22.0,0.95,0.05,49.12652663,2505.735934,272.5422766,1703.37044,429284.2622,4583218.178,4
1881,15,31504,8575,74333,7.0,1.0,0.0,2497.871857,405.7258105,2063.213542,714.3020169,427548.0945,4581036.031,0
1882,27,67510,0,7455,1.0,1.0,0.0,443.6893169,2038.970641,382.6530306,1499.831606,430274.1238,4584623.79,1
1883,16,0,19786,102322,38.0,0.304347826,0.47826087,29.76890383,2187.291465,202.4280513,2207.623053,430674.6881,4581108.239,2
1884,11,20088,24195,78224,17.0,0.813559322,0.050847458,285.0150117,3380.391395,404.2415873,3656.626213,431286.4253,4581728.239,2
1885,2,49035,18225,0,1.0,1.0,0.0,880.5470419,1038.63009,201.3352401,1117.517984,428850.7774,4585003.521,1
1886,30,72545,10415,17382,3.0,1.0,0.0,1764.843579,426.4416642,1805.285819,916.6305044,427231.259,4580943.642,0
1887,16,31526,56585,24615,10.0,0.7,0.0,374.8451996,2009.360154,80.56155836,1784.923814,430039.089,4584148.011,4
1888,11,40080,41040,63068,4.0,1.0,0.0,519.6074396,2997.869539,492.8078872,3069.781475,431168.3333,4581877.916,4
1889,39,37675,0,0,29.0,0.5,0.166666667,58.4411537,1868.884301,509.0407347,1433.326058,428802.9556,4582800.165,3
1890,9,0,536,91617,13.0,0.692307692,0.038461538,0.0,2534.907767,12.99761323,2872.843564,429720.7356,4584264.843,2
1891,15,1583,16546,77718,23.0,1.0,0.0,0.0,2292.681701,0.0,3234.664316,429956.5708,4583735.873,2
1892,31,79839,16996,6383,3.0,1.0,0.0,89.06562977,1080.175859,418.8496108,1591.673147,431443.8414,4583684.555,1
1893,8,9354,32191,78752,15.0,0.7,0.085714286,270.8370004,3022.703651,377.5627139,3024.471281,431478.0462,4581642.656,2
1894,8,0,9203,115630,39.0,0.595744681,0.14893617,225.6031188,3668.43875,283.18958,2940.489258,431230.181,4581343.886,2
1895,12,4650,1130,63691,28.0,0.803571429,0.071428571,254.3830188,3268.965151,320.3345206,2823.429736,431420.9904,4581411.405,2
